id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Tujhe Kitna Chahne Lage,Arijit Singh,pop,melancholic,0.4,71,0.3,0.4,0.73
2,Tere Bina,A.R. Rahman,pop,happy,0.7,144,0.87,0.74,0.28
3,Perfect,Ed Sheeran,pop,sad,0.45,95,0.17,0.6,0.16
4,Adheeraa,A.R. Rahman,pop,energetic,0.83,111,0.56,0.72,0.11
5,Baarish Lete Aana,Darshan Raval,pop,melancholic,0.35,67,0.32,0.54,0.84
6,Whatever It Takes,Imagine Dragons,rock,moody,0.66,135,0.56,0.67,0.04
7,Courtesy Call,Thousand Foot Krutch,rock,moody,0.64,164,0.45,0.53,0.0
8,The Final Countdown,Europe,rock,intense,0.84,118,0.19,0.53,0.06
9,Stressed Out,Twenty One Pilots,rock,happy,0.64,170,0.65,0.73,0.05
10,Thunderstruck,AC/DC,rock,intense,0.89,134,0.26,0.5,0.0
11,Evening Silence,Three Four Trio,jazz,melancholic,0.14,89,0.11,0.43,0.96
12,My Funny Valentine,Chet Baker,jazz,melancholic,0.01,133,0.28,0.44,0.94
13,Öyle Bir Rüya,Hüsnü Arkan,jazz,sad,0.47,97,0.37,0.37,0.14
14,Comics,Caravan Palace,jazz,energetic,0.85,90,0.56,0.55,0.0
15,Deirdres samba,Cornelis Vreeswijk,jazz,chill,0.3,100,0.85,0.62,0.93
16,"Mozart: Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai",Wolfgang Amadeus Mozart,classical,melancholic,0.16,72,0.23,0.36,0.98
17,Kaakum Kadavul,Sirkazhi Govindarajan,classical,happy,0.71,100,0.8,0.52,0.61
18,Indrayani Kathi,Bhimsen Joshi,classical,relaxed,0.42,77,0.72,0.48,0.99
19,Aan Milo Sajna,Ajoy Chakrabarty,classical,energetic,0.84,68,0.5,0.37,0.8
20,Maruthamalai Maamaniye,Madurai Somasundaram,classical,relaxed,0.49,96,0.61,0.35,0.99
21,Jaadugar,Paradox,hip-hop,sad,0.57,95,0.19,0.67,0.77
22,Usuraiya Tholaichaen,Stephen Zechariah,hip-hop,sad,0.58,100,0.37,0.57,0.52
23,Notorious,Wazir Patar,hip-hop,moody,0.61,84,0.53,0.83,0.07
24,Po Ve Po - The Pain of Love,Anirudh Ravichander,hip-hop,sad,0.62,90,0.35,0.57,0.49
25,Ykwim,Karan Aujla,hip-hop,relaxed,0.57,105,0.66,0.84,0.04
26,Me Canse de Amarte,Edwin Luna y La Trakalosa de Monterrey,r-n-b,moody,0.56,130,0.51,0.65,0.19
27,Deep End Freestyle,Sleepy Hallow,r-n-b,relaxed,0.48,134,0.78,0.88,0.7
28,Toda Forma De Poder,Engenheiros Do Hawaii,r-n-b,energetic,0.95,203,0.59,0.33,0.17
29,Build Me Up Buttercup,The Foundations,r-n-b,happy,0.66,134,0.88,0.64,0.2
